model,arm,metric,mean_none,mean_arm,mean_diff,ci_low,ci_high,p_wilcoxon,p_bh,significant_bh_0.05
SVM,smote,roc_auc,0.4760690789473684,0.5103892543859649,0.03432017543859652,0.005027204200223161,0.06361314667696988,0.029575347900390625,0.04929224650065104,True
SVM,smote,pr_auc,0.7553697886032008,0.7850201452253553,0.0296503566221545,0.010458600049480665,0.04884211319482834,0.006389617919921875,0.011058954092172476,True
SVM,smote,balanced_accuracy,0.5,0.49769736842105256,-0.0023026315789473812,-0.015680316965530787,0.011075053807636025,0.6006866595340323,0.7240419556883425,False
SVM,smote,gmean,0.0,0.4125588541977544,0.4125588541977544,0.38898475656847803,0.43613295182703077,1.9073486328125e-06,4.858340857163915e-06,True
SVM,smote,sensitivity,1.0,0.7703947368421054,-0.22960526315789473,-0.2494317981820274,-0.20977872813376205,1.9073486328125e-06,4.858340857163915e-06,True
SVM,smote,specificity,0.0,0.225,0.225,0.1993782905845764,0.2506217094154236,1.9073486328125e-06,4.858340857163915e-06,True
SVM,smote,f1,0.8636363636363636,0.7641080433949723,-0.09952832024139147,-0.11120659257403487,-0.08785004790874806,1.9073486328125e-06,4.858340857163915e-06,True
SVM,smote,mcc,0.0,-0.004430114075608435,-0.004430114075608435,-0.03231120493025395,0.023450976779037083,0.6006866595340323,0.7240419556883425,False
SVM,smote,accuracy,0.76,0.6395,-0.12050000000000002,-0.13478261418333565,-0.10621738581666439,1.9073486328125e-06,4.858340857163915e-06,True
SVM,adasyn,roc_auc,0.4760690789473684,0.5205866228070175,0.04451754385964913,0.018404954371224684,0.07063013334807358,0.001689910888671875,0.0030216949664993793,True
SVM,adasyn,pr_auc,0.7553697886032008,0.7861485147151556,0.030778726111954802,0.014146719790543404,0.0474107324333662,0.0007076263427734375,0.0013647079467773438,True
SVM,adasyn,balanced_accuracy,0.5,0.5003289473684209,0.00032894736842103425,-0.017643394964362458,0.018301289701204523,0.8405336616716674,0.9660510611026845,False
SVM,adasyn,gmean,0.0,0.42135524554694087,0.42135524554694087,0.3927646701636099,0.44994582093027186,1.9073486328125e-06,4.858340857163915e-06,True
SVM,adasyn,sensitivity,1.0,0.763157894736842,-0.23684210526315783,-0.25692121779496013,-0.21676299273135552,1.9073486328125e-06,4.858340857163915e-06,True
SVM,adasyn,specificity,0.0,0.23749999999999996,0.23749999999999996,0.2064404829398316,0.2685595170601683,1.9073486328125e-06,4.858340857163915e-06,True
SVM,adasyn,f1,0.8636363636363636,0.7611832813559056,-0.10245308228045805,-0.11530468404601701,-0.08960148051489908,1.9073486328125e-06,4.858340857163915e-06,True
SVM,adasyn,mcc,0.0,0.0009186531102930877,0.0009186531102930877,-0.03542840071126461,0.03726570693185078,0.9039076325167246,1.0,False
SVM,adasyn,accuracy,0.76,0.6370000000000001,-0.123,-0.13957117485204978,-0.10642882514795021,1.9073486328125e-06,4.858340857163915e-06,True
SVM,classweight,roc_auc,0.4760690789473684,0.4936677631578948,0.01759868421052632,-0.017224852143704634,0.052422220564757274,0.4523754119873047,0.5707540244699638,False
SVM,classweight,pr_auc,0.7553697886032008,0.7703540690057032,0.014984280402502426,-0.004859942494080154,0.034828503299085004,0.17685317993164062,0.2553495111312458,False
SVM,classweight,balanced_accuracy,0.5,0.5,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,gmean,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,sensitivity,1.0,1.0,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,specificity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,f1,0.8636363636363636,0.8636363636363636,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,mcc,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
SVM,classweight,accuracy,0.76,0.76,0.0,0.0,0.0,1.0,1.0,False
SVM,threshold,roc_auc,0.4760690789473684,0.4760690789473684,0.0,0.0,0.0,1.0,1.0,False
SVM,threshold,pr_auc,0.7553697886032008,0.7553697886032008,0.0,0.0,0.0,1.0,1.0,False
SVM,threshold,balanced_accuracy,0.5,0.48733552631578947,-0.012664473684210536,-0.0314825017155007,0.006153554347079633,0.14732171694097326,0.21501007337331232,False
SVM,threshold,gmean,0.0,0.27803447647778184,0.27803447647778184,0.18383455957634853,0.37223439337921516,0.0006516660806139112,0.0012658261997536406,True
SVM,threshold,sensitivity,1.0,0.580921052631579,-0.41907894736842105,-0.5824869614608364,-0.25567093327600565,0.0002919049007944203,0.0005937529475885398,True
SVM,threshold,specificity,0.0,0.39374999999999993,0.39374999999999993,0.23004823597052906,0.5574517640294708,0.0004348772241765822,0.0008570573031217313,True
SVM,threshold,f1,0.8636363636363636,0.5890491390169351,-0.2745872246194286,-0.40552644691024486,-0.14364800232861233,0.00029247830381213256,0.0005937529475885398,True
SVM,threshold,mcc,0.0,-0.031834412861937944,-0.031834412861937944,-0.06681140435687277,0.003142578632996891,0.05241284600041932,0.08576647527341344,False
SVM,threshold,accuracy,0.76,0.5359999999999999,-0.22400000000000003,-0.3104097332591607,-0.13759026674083935,0.00028905006410405866,0.0005937529475885398,True
MLP,smote,roc_auc,0.5447916666666666,0.5356633771929825,-0.009128289473684211,-0.021440314558240962,0.003183735610872542,0.12126617427553196,0.18260997730297046,False
MLP,smote,pr_auc,0.7959678150048248,0.7919824831911324,-0.003985331813692272,-0.009933295411628053,0.001962631784243509,0.2305126190185547,0.3293037414550781,False
MLP,smote,balanced_accuracy,0.5236293859649124,0.5224780701754386,-0.0011513157894736865,-0.021986204242926216,0.01968357266397884,0.7841262817382812,0.9086441891387809,False
MLP,smote,gmean,0.2839102982100806,0.47882895993002456,0.19491866171994396,0.14384180118344153,0.2459955222564464,1.9073486328125e-06,4.858340857163915e-06,True
MLP,smote,sensitivity,0.9493421052631581,0.7157894736842105,-0.23355263157894735,-0.2597459294871577,-0.20735933367073697,1.9073486328125e-06,4.858340857163915e-06,True
MLP,smote,specificity,0.09791666666666664,0.32916666666666666,0.23125000000000004,0.1863005542335437,0.2761994457664564,1.9073486328125e-06,4.858340857163915e-06,True
MLP,smote,f1,0.8496478361958939,0.7417378280024993,-0.1079100081933944,-0.12321830632802126,-0.09260171005876754,1.9073486328125e-06,4.858340857163915e-06,True
MLP,smote,mcc,0.0861448925732603,0.04192248512926054,-0.04422240744399976,-0.09206601463685568,0.003621199748856163,0.029575347900390625,0.04929224650065104,True
MLP,smote,accuracy,0.745,0.623,-0.12200000000000003,-0.14032222055037463,-0.10367777944962542,1.9073486328125e-06,4.858340857163915e-06,True
MLP,adasyn,roc_auc,0.5447916666666666,0.5483552631578947,0.003563596491228066,-0.010019444238263672,0.017146637220719803,0.7561664581298828,0.880021309030467,False
MLP,adasyn,pr_auc,0.7959678150048248,0.8002229783433175,0.00425516333849274,-0.003800762131477998,0.012311088808463478,0.26109886169433594,0.3671702742576599,False
MLP,adasyn,balanced_accuracy,0.5236293859649124,0.5322368421052632,0.008607456140350892,-0.010172822770802005,0.02738773505150379,0.4523754119873047,0.5707540244699638,False
MLP,adasyn,gmean,0.2839102982100806,0.4769171244839151,0.19300682627383428,0.13055922614983473,0.25545442639783383,1.9073486328125e-06,4.858340857163915e-06,True
MLP,adasyn,sensitivity,0.9493421052631581,0.7519736842105263,-0.19736842105263158,-0.22006072970040708,-0.1746761124048561,1.9073486328125e-06,4.858340857163915e-06,True
MLP,adasyn,specificity,0.09791666666666664,0.3125,0.21458333333333335,0.16307695120422294,0.26608971546244375,1.9073486328125e-06,4.858340857163915e-06,True
MLP,adasyn,f1,0.8496478361958939,0.7631545956149347,-0.08649324058095896,-0.0965774036115781,-0.07640907755033982,1.9073486328125e-06,4.858340857163915e-06,True
MLP,adasyn,mcc,0.0861448925732603,0.061046766682962605,-0.025098125890297706,-0.07018892691485781,0.019992675134262405,0.26109886169433594,0.3671702742576599,False
MLP,adasyn,accuracy,0.745,0.6464999999999999,-0.09849999999999999,-0.10989082476880685,-0.08710917523119313,1.9073486328125e-06,4.858340857163915e-06,True
MLP,threshold,roc_auc,0.5447916666666666,0.5447916666666666,0.0,0.0,0.0,1.0,1.0,False
MLP,threshold,pr_auc,0.7959678150048248,0.7959678150048248,0.0,0.0,0.0,1.0,1.0,False
MLP,threshold,balanced_accuracy,0.5236293859649124,0.5239035087719298,0.0002741228070175433,-0.01665191064516497,0.01720015625920006,0.956329345703125,1.0,False
MLP,threshold,gmean,0.2839102982100806,0.4457611589023399,0.16185086069225924,0.09526721147683266,0.22843450990768582,0.0001678466796875,0.0003596714564732143,True
MLP,threshold,sensitivity,0.9493421052631581,0.40197368421052626,-0.5473684210526315,-0.6630493434313358,-0.4316874986739272,1.9073486328125e-06,4.858340857163915e-06,True
MLP,threshold,specificity,0.09791666666666664,0.6458333333333334,0.5479166666666667,0.423569905443342,0.6722634278899915,1.9073486328125e-06,4.858340857163915e-06,True
MLP,threshold,f1,0.8496478361958939,0.49211847116396273,-0.35752936503193095,-0.4540837576581812,-0.2609749724056807,1.9073486328125e-06,4.858340857163915e-06,True
MLP,threshold,mcc,0.0861448925732603,0.048098025989213256,-0.03804686658404706,-0.08821817450118866,0.012124441333094545,0.13272666931152344,0.19582623341044442,False
MLP,threshold,accuracy,0.745,0.4605,-0.2845,-0.3442323003079082,-0.22476769969209176,1.9073486328125e-06,4.858340857163915e-06,True
XGB,smote,roc_auc,0.5552905701754386,0.5727521929824562,0.01746162280701756,-0.0030473009884692155,0.03797054660250433,0.1230926513671875,0.18260997730297046,False
XGB,smote,pr_auc,0.8083645052539623,0.8218213678628479,0.01345686260888554,-0.0005590287915825231,0.027472754009353603,0.082550048828125,0.13034218236019737,False
XGB,smote,balanced_accuracy,0.5,0.5508771929824563,0.050877192982456146,0.02748329701865478,0.07427108894625752,0.000966183741395627,0.0018264357171977475,True
XGB,smote,gmean,0.0,0.5392538939980128,0.5392538939980128,0.5120829592753826,0.566424828720643,1.9073486328125e-06,4.858340857163915e-06,True
XGB,smote,sensitivity,1.0,0.6309210526315789,-0.36907894736842106,-0.4042266232307768,-0.33393127150606533,1.9073486328125e-06,4.858340857163915e-06,True
XGB,smote,specificity,0.0,0.4708333333333333,0.4708333333333333,0.4221948619045223,0.5194718047621444,1.9073486328125e-06,4.858340857163915e-06,True
XGB,smote,f1,0.8636363636363636,0.6995286923860207,-0.16410767125034295,-0.18931331612070307,-0.13890202637998283,1.9073486328125e-06,4.858340857163915e-06,True
XGB,smote,mcc,0.0,0.08951494079102608,0.08951494079102608,0.048306875005799714,0.13072300657625244,0.0009673344724417701,0.0018264357171977475,True
XGB,smote,accuracy,0.76,0.5925,-0.16750000000000004,-0.19183651228328683,-0.14316348771671325,1.9073486328125e-06,4.858340857163915e-06,True
XGB,adasyn,roc_auc,0.5552905701754386,0.5696820175438596,0.01439144736842107,-0.0013030472273012628,0.030085941964143402,0.14290618896484375,0.209699299024499,False
XGB,adasyn,pr_auc,0.8083645052539623,0.8171739061867298,0.00880940093276753,-0.0018933610614890704,0.01951216292702413,0.1230926513671875,0.18260997730297046,False
XGB,adasyn,balanced_accuracy,0.5,0.5436403508771932,0.04364035087719298,0.022173659088103266,0.0651070426662827,0.0003948211669921875,0.0007838361403521369,True
XGB,adasyn,gmean,0.0,0.5297441275083882,0.5297441275083882,0.5052843213608919,0.5542039336558845,1.9073486328125e-06,4.858340857163915e-06,True
XGB,adasyn,sensitivity,1.0,0.6289473684210526,-0.3710526315789474,-0.4101327894675976,-0.3319724736902972,1.9073486328125e-06,4.858340857163915e-06,True
XGB,adasyn,specificity,0.0,0.4583333333333333,0.4583333333333333,0.4069339219990875,0.5097327446675791,1.9073486328125e-06,4.858340857163915e-06,True
XGB,adasyn,f1,0.8636363636363636,0.6960683659364613,-0.16756799769990238,-0.19330365026185303,-0.14183234513795173,1.9073486328125e-06,4.858340857163915e-06,True
XGB,adasyn,mcc,0.0,0.07736872218435684,0.07736872218435684,0.039993838262505806,0.11474360610620787,0.0003223419189453125,0.000644683837890625,True
XGB,adasyn,accuracy,0.76,0.588,-0.172,-0.19669973757149042,-0.14730026242850955,1.9073486328125e-06,4.858340857163915e-06,True
XGB,classweight,roc_auc,0.5552905701754386,0.5641584429824562,0.008867872807017585,-0.0015368719826109462,0.019272617596646117,0.082550048828125,0.13034218236019737,False
XGB,classweight,pr_auc,0.8083645052539623,0.8110236301021793,0.0026591248482171147,-0.005808010516453736,0.011126260212887967,0.34881019592285156,0.47089376449584963,False
XGB,classweight,balanced_accuracy,0.5,0.528782894736842,0.02878289473684209,0.0039254548825517245,0.05364033459113246,0.04844093322753906,0.07975031689899724,False
XGB,classweight,gmean,0.0,0.5086754397390697,0.5086754397390697,0.47640426208725906,0.5409466173908803,1.9073486328125e-06,4.858340857163915e-06,True
XGB,classweight,sensitivity,1.0,0.6388157894736841,-0.3611842105263158,-0.3934913802066184,-0.32887704084601316,1.9073486328125e-06,4.858340857163915e-06,True
XGB,classweight,specificity,0.0,0.41875,0.41875,0.36059992521459205,0.47690007478540797,1.9073486328125e-06,4.858340857163915e-06,True
XGB,classweight,f1,0.8636363636363636,0.6993401107955679,-0.1642962528407957,-0.18512906932390932,-0.14346343635768205,1.9073486328125e-06,4.858340857163915e-06,True
XGB,classweight,mcc,0.0,0.050081740227831406,0.050081740227831406,0.006418924758317825,0.093744555697345,0.04844093322753906,0.07975031689899724,False
XGB,classweight,accuracy,0.76,0.5860000000000001,-0.17400000000000002,-0.1950072104302092,-0.15299278956979084,1.9073486328125e-06,4.858340857163915e-06,True
XGB,threshold,roc_auc,0.5552905701754386,0.5552905701754386,0.0,0.0,0.0,1.0,1.0,False
XGB,threshold,pr_auc,0.8083645052539623,0.8083645052539623,0.0,0.0,0.0,1.0,1.0,False
XGB,threshold,balanced_accuracy,0.5,0.5264254385964912,0.026425438596491223,-0.001110778033198881,0.05396165522618133,0.06372261047363281,0.10180535401112935,False
XGB,threshold,gmean,0.0,0.4692230960043119,0.4692230960043119,0.4346438440464151,0.5038023479622087,1.9073486328125e-06,4.858340857163915e-06,True
XGB,threshold,sensitivity,1.0,0.47368421052631576,-0.5263157894736843,-0.6277792097078481,-0.42485236923952047,1.9073486328125e-06,4.858340857163915e-06,True
XGB,threshold,specificity,0.0,0.5791666666666668,0.5791666666666668,0.45536432462925247,0.7029690087040812,1.9073486328125e-06,4.858340857163915e-06,True
XGB,threshold,f1,0.8636363636363636,0.5631239898218652,-0.30051237381449836,-0.3745283410888879,-0.2264964065401088,1.9073486328125e-06,4.858340857163915e-06,True
XGB,threshold,mcc,0.0,0.051915105862994804,0.051915105862994804,0.0011594242595733342,0.10267078746641628,0.06372261047363281,0.10180535401112935,False
XGB,threshold,accuracy,0.76,0.499,-0.261,-0.31304725996893495,-0.2089527400310651,1.9073486328125e-06,4.858340857163915e-06,True
LR,smote,roc_auc,0.5379660087719298,0.5365131578947369,-0.0014528508771929876,-0.00823295848017608,0.005327256725790105,0.7561664581298828,0.880021309030467,False
LR,smote,pr_auc,0.7915587850538456,0.7923634227784431,0.0008046377245974178,-0.004885899838721891,0.0064951752879167275,0.8408222198486328,0.9660510611026845,False
LR,smote,balanced_accuracy,0.49934210526315786,0.5405701754385964,0.0412280701754386,0.018509878520565938,0.06394626183031127,0.0019855499267578125,0.0035269636856882195,True
LR,smote,gmean,0.0,0.5349451748715908,0.5349451748715908,0.5106159468057947,0.5592744029373868,1.9073486328125e-06,4.858340857163915e-06,True
LR,smote,sensitivity,0.9986842105263157,0.5894736842105263,-0.40921052631578947,-0.433753571486978,-0.3846674811446009,1.9073486328125e-06,4.858340857163915e-06,True
LR,smote,specificity,0.0,0.4916666666666667,0.4916666666666667,0.4471085305730351,0.5362248027602983,1.9073486328125e-06,4.858340857163915e-06,True
LR,smote,f1,0.862987012987013,0.6727427670616069,-0.19024424592540623,-0.2080223617214628,-0.17246613012934967,1.9073486328125e-06,4.858340857163915e-06,True
LR,smote,mcc,-0.00564782494724905,0.07021964392723354,0.07586746887448259,0.035465034671612786,0.1162699030773524,0.0014324188232421875,0.0025956582703046353,True
LR,smote,accuracy,0.759,0.5660000000000001,-0.19300000000000003,-0.2121528103757504,-0.17384718962424967,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,roc_auc,0.5379660087719298,0.5351425438596491,-0.002823464912280699,-0.010314965972048345,0.004668036147486948,0.40909767150878906,0.5361959772202575,False
LR,adasyn,pr_auc,0.7915587850538456,0.7908942077185561,-0.0006645773352895567,-0.007529905809559391,0.006200751138980277,0.8983173370361328,1.0,False
LR,adasyn,balanced_accuracy,0.49934210526315786,0.5339364035087719,0.03459429824561401,0.007697423169575987,0.061491173321652035,0.017181396484375,0.028993606567382812,True
LR,adasyn,gmean,0.0,0.5242728610444412,0.5242728610444412,0.49389231531046035,0.5546534067784219,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,sensitivity,0.9986842105263157,0.6032894736842105,-0.3953947368421053,-0.41965765477338746,-0.37113181891082314,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,specificity,0.0,0.4645833333333333,0.4645833333333333,0.41005684765254274,0.5191098190141239,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,f1,0.862987012987013,0.6798883446391971,-0.18309866834781585,-0.20083322705810933,-0.16536410963752238,1.9073486328125e-06,4.858340857163915e-06,True
LR,adasyn,mcc,-0.00564782494724905,0.05880575701087594,0.06445358195812498,0.016949517887424617,0.11195764602882534,0.01531219482421875,0.026001840267541272,True
LR,adasyn,accuracy,0.759,0.57,-0.189,-0.20873386913585248,-0.16926613086414752,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,roc_auc,0.5379660087719298,0.5389254385964912,0.0009594298245614086,-0.0010121103279436328,0.00293096997706645,0.40909767150878906,0.5361959772202575,False
LR,classweight,pr_auc,0.7915587850538456,0.7919719994776919,0.00041321442384640303,-0.0015695850434407467,0.002396013891133553,0.4523754119873047,0.5707540244699638,False
LR,classweight,balanced_accuracy,0.49934210526315786,0.5404605263157894,0.041118421052631575,0.016852589881508073,0.06538425222375507,0.0010166168212890625,0.0018930106327451509,True
LR,classweight,gmean,0.0,0.5352219070596178,0.5352219070596178,0.5089929529275335,0.5614508611917021,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,sensitivity,0.9986842105263157,0.5809210526315789,-0.41776315789473684,-0.4388956322669337,-0.39663068352254,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,specificity,0.0,0.5,0.5,0.45099258418355076,0.5490074158164493,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,f1,0.862987012987013,0.6675202964517246,-0.1954667165352884,-0.21123559185366697,-0.17969784121690985,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,mcc,-0.00564782494724905,0.06965660909242663,0.07530443403967568,0.03272420486781377,0.1178846632115376,0.000850677490234375,0.001628956896193484,True
LR,classweight,accuracy,0.759,0.5615,-0.1975,-0.2150032645882593,-0.17999673541174072,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,roc_auc,0.5379660087719298,0.5379660087719298,0.0,0.0,0.0,1.0,1.0,False
LR,threshold,pr_auc,0.7915587850538456,0.7915587850538456,0.0,0.0,0.0,1.0,1.0,False
LR,threshold,balanced_accuracy,0.49934210526315786,0.5245065789473685,0.02516447368421053,0.005865009356973257,0.04446393801144781,0.01000953783388119,0.017104906424986844,True
LR,threshold,gmean,0.0,0.41608460962105365,0.41608460962105365,0.3360157444760946,0.4961534747660127,0.00019643672621231134,0.00041114663625832607,True
LR,threshold,sensitivity,0.9986842105263157,0.5052631578947369,-0.4934210526315789,-0.621094359374603,-0.3657477458885549,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,specificity,0.0,0.54375,0.54375,0.40564600661003036,0.6818539933899695,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,f1,0.862987012987013,0.5628032172473091,-0.30018379573970383,-0.41677084435700007,-0.1835967471224076,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,mcc,-0.00564782494724905,0.05178423194462586,0.0574320568918749,0.019939175950244706,0.0949249378335051,0.006210256590449749,0.010817866318847949,True
LR,threshold,accuracy,0.759,0.5145,-0.24450000000000002,-0.3103287632222098,-0.17867123677779023,0.0001308020996998329,0.0002871265603167064,True
ELM,smote,roc_auc,0.5140899122807017,0.5091557017543858,-0.004934210526315796,-0.016948163941477176,0.007079742888845582,0.2942523956298828,0.39923691869381084,False
ELM,smote,pr_auc,0.7804578973566831,0.7811178236733883,0.0006599263167052672,-0.006495934199995616,0.00781578683340615,0.9854354858398438,1.0,False
ELM,smote,balanced_accuracy,0.5131578947368421,0.4942982456140351,-0.018859649122807014,-0.04180379651644291,0.004084498270828886,0.11398696899414062,0.17290158218212343,False
