,,accuracy,accuracy,precision,precision,sensitivity,sensitivity,f1,f1,roc_auc,roc_auc,pr_auc,pr_auc,mcc,mcc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,arm,,,,,,,,,,,,,,
ELM,adasyn,0.563,0.04702742760739121,0.7553002764108074,0.027487327166523405,0.6289473684210527,0.06811673213444625,0.6846097599439762,0.044736268731765554,0.5137061403508772,0.0544510592111555,0.7825484347047956,0.03310472373989933,-0.015128169602819106,0.08441129809018819
ELM,none,0.741,0.0295403381657585,0.7649984244535426,0.011550526135154882,0.9513157894736842,0.035486537697810176,0.8478536585242553,0.019376019931265663,0.5140899122807017,0.048424021420206374,0.7804578973566831,0.02448113396212271,0.05885476316505289,0.1351889816052349
ELM,smote,0.5715,0.04368246667413416,0.7568089595895529,0.02530413397595923,0.6427631578947368,0.05980769956492951,0.6938946408880323,0.03976441605572543,0.509155701754386,0.04735071063746595,0.7811178236733884,0.028918220556910533,-0.009880246295781745,0.07993868640478957
ELM,threshold,0.5495,0.16956523352696046,0.7797321578844201,0.06011455477934907,0.5769736842105263,0.31313156038159534,0.6052815477179189,0.2562254718394754,0.5140899122807017,0.048424021420206374,0.7804578973566831,0.02448113396212271,0.04997427658071115,0.09872940524508761
HGS,adasyn,0.5814999999999999,0.040428624564910996,0.7620711456339894,0.026835263479745054,0.6532894736842105,0.04380132317568174,0.7029648078443522,0.03324012721247751,0.518969298245614,0.05834750962851518,0.7804716947975763,0.030891365476359994,0.006615955766034939,0.08824483946313302
HGS,none,0.725,0.02282657730758045,0.7610922610786099,0.009703281390652786,0.9302631578947368,0.033910897542727726,0.8369512929982674,0.01606629645115963,0.5174890350877193,0.0655591681052059,0.7716926520001026,0.03399599452346581,0.0029403071758166387,0.08934698161465159
HGS,smote,0.58,0.050052603907236815,0.7732906853161617,0.039650862590999106,0.6348684210526316,0.06430102949358568,0.6954398664016487,0.04404923995330672,0.5306743421052632,0.059193284259424536,0.7971033184241145,0.027908548097440134,0.03558925695920023,0.11522190619846748
HGS,threshold,0.49749999999999994,0.1550509254202767,0.7521638721001249,0.08582598022112602,0.4894736842105263,0.28731250660960383,0.5470541822448975,0.23816331356336048,0.5174890350877193,0.0655591681052059,0.7716926520001026,0.03399599452346581,0.007329868952461227,0.1000293459033458
HHO,adasyn,0.5685,0.03248886448907491,0.7568245637032945,0.02492043141707115,0.6381578947368421,0.048767429062211216,0.6912915973058815,0.030882534441572344,0.5055646929824562,0.049492011883150756,0.7774954860882997,0.028688960156427395,-0.013617634685659848,0.07876861826802628
HHO,none,0.7375,0.024033967191193557,0.7653726012028705,0.010952949822274993,0.944078947368421,0.03074706457339385,0.8451927207697206,0.015801615839287398,0.5270559210526315,0.048690902289283196,0.7763774136330028,0.0233990960764001,0.04765581974510079,0.10276776971629777
HHO,smote,0.5745,0.040584544634107884,0.7712655951421991,0.026461159070027503,0.6263157894736843,0.06236225526753164,0.6895728537476546,0.04235102484196337,0.5325657894736842,0.047036722622827265,0.7914155048395791,0.032645815356009265,0.03223431775722151,0.07111325560505402
HHO,threshold,0.587,0.145497332223689,0.7634208130474888,0.023297920014474064,0.6598684210526315,0.2687180951065676,0.6760634831007061,0.18501391251291116,0.5270559210526315,0.048690902289283196,0.7763774136330028,0.0233990960764001,0.02614500612364522,0.08017771867530116
HIWOA,adasyn,0.575,0.045479897236378825,0.7568964313004973,0.03372491021528587,0.65,0.048748740642646934,0.6985899762502736,0.03711638857191704,0.48555372807017544,0.06114307439832247,0.7660375348808854,0.027148937556654158,-0.0122235176028759,0.10935821238092418
HIWOA,none,0.7325,0.022448772091610107,0.7655477435409846,0.010137759000772843,0.9342105263157894,0.030186280772442352,0.8413121986967489,0.015027665404431146,0.5216282894736842,0.049649726859993484,0.7850930204585478,0.030982581173084472,0.04799143907239883,0.09818709577530745
HIWOA,smote,0.5805,0.05394685493978993,0.7699798004029397,0.03587599689842787,0.6394736842105264,0.07161213993311247,0.6968227424464695,0.04833004899486308,0.5328673245614035,0.058609934003748206,0.7935591255829688,0.029295626384476435,0.029903451646259578,0.103920575270296
HIWOA,threshold,0.5345,0.19624031990876575,0.7416033318172013,0.18422455056030754,0.5592105263157895,0.37483290732312313,0.5644767672204222,0.30880699915247617,0.5216282894736842,0.049649726859993484,0.7850930204585478,0.030982581173084472,0.02925332702520021,0.09045320566828732
LR,adasyn,0.5700000000000001,0.04167543767332453,0.7824597985800159,0.037040051917636964,0.6032894736842105,0.050920059471944175,0.6798883446391971,0.03751281537884346,0.5351425438596491,0.05480057762563179,0.7908942077185561,0.029568189060979123,0.058805757010875925,0.09987309239585287
LR,classweight,0.5615,0.03674592709260085,0.7874824842615837,0.03459838768086696,0.5809210526315789,0.04380132317568174,0.6675202964517245,0.033146484718923064,0.5389254385964912,0.05172475216601392,0.791971999477692,0.023790959731465746,0.06965660909242663,0.08952302052465456
LR,none,0.759,0.003077935056255467,0.7597575757575757,0.0007461660742437468,0.9986842105263157,0.004049914547704553,0.862987012987013,0.0019986591274386203,0.5379660087719298,0.052691922007420296,0.7915587850538456,0.024125088384912216,-0.00564782494724905,0.01738363839673201
LR,smote,0.5660000000000001,0.04005259699839435,0.7866105016601418,0.03206436811162136,0.5894736842105264,0.05097818486059508,0.6727427670616067,0.03734083647998621,0.5365131578947369,0.04703302289784009,0.7923634227784431,0.022637990811516608,0.07021964392723354,0.0835257042487056
LR,threshold,0.5145,0.14143903280212292,0.717603115998072,0.2528655105626093,0.5052631578947369,0.2738945494728536,0.5628032172473092,0.24973080249858662,0.5379660087719298,0.052691922007420296,0.7915587850538456,0.024125088384912216,0.05178423194462586,0.07728261928433469
MEO,adasyn,0.5795,0.043465049480194876,0.7649963571542465,0.026528884209623668,0.6453947368421054,0.06059477640955228,0.6986583848705521,0.040539200248505526,0.5252192982456141,0.05000358143934075,0.7891337396422313,0.024155739073327197,0.01447217686150227,0.0855265985589111
MEO,none,0.722,0.019358120830939754,0.7653165239376354,0.011369486693499674,0.9151315789473685,0.028787964531740366,0.8332909462963182,0.013286493917727158,0.5201754385964912,0.05598257619017799,0.7824836316353312,0.03411076674716477,0.03179499154027076,0.08515039900091284
MEO,smote,0.569,0.042661458015403074,0.7581244861132597,0.030415324197084422,0.6361842105263158,0.048912022206348514,0.6910006059715001,0.03582978791376994,0.5142543859649122,0.05563744096920574,0.7848073979731413,0.029704607061388433,-0.007494638862079609,0.09859303452887998
MEO,threshold,0.529,0.1544054812225879,0.7586169189227998,0.03724923061869798,0.5519736842105263,0.286737096080281,0.595592264937763,0.22339490929727834,0.5201754385964912,0.05598257619017799,0.7824836316353312,0.03411076674716477,0.00822164311099614,0.06384158255247555
MLP,adasyn,0.6465,0.03183427480926147,0.776566024089487,0.02027836358800987,0.7519736842105262,0.04834990406921164,0.7631545956149347,0.02637909393009346,0.5483552631578947,0.05821374440650082,0.8002229783433175,0.03142552891341822,0.061046766682962605,0.08200461908691077
MLP,none,0.745,0.0223606797749979,0.769220721391519,0.009490809658870303,0.9493421052631579,0.030568733066942414,0.8496478361958937,0.014986320633605487,0.5447916666666667,0.05737243833547239,0.7959678150048247,0.029814342885388326,0.08614489257326031,0.09698712997582666
MLP,smote,0.623,0.04105195680956923,0.772128992968824,0.02598202881399276,0.7157894736842105,0.05637646561724185,0.7417378280024993,0.03456943231386858,0.5356633771929824,0.05315363291342444,0.7919824831911324,0.02845991597536295,0.04192248512926055,0.0893572064073682
MLP,threshold,0.4605,0.12197821203201134,0.7928841310914414,0.03974334441066431,0.40197368421052626,0.23639828375842875,0.49211847116396273,0.2027648578069045,0.5447916666666667,0.05737243833547239,0.7959678150048247,0.029814342885388326,0.04809802598921325,0.05898173650381961
SVM,adasyn,0.637,0.0354074033293366,0.7600739514773505,0.01848318671950475,0.7631578947368421,0.042902765932779904,0.7611832813559056,0.02745984223833555,0.5205866228070175,0.04833004768870002,0.7861485147151556,0.024511928942944034,0.0009186531102930842,0.07766225424468362
SVM,classweight,0.76,0.0,0.76,0.0,1.0,0.0,0.8636363636363636,0.0,0.4936677631578947,0.061725602049020625,0.7703540690057032,0.03376230847219898,0.0,0.0
SVM,none,0.76,0.0,0.76,0.0,1.0,0.0,0.8636363636363636,0.0,0.4760690789473684,0.053261797430544044,0.7553697886032008,0.03059488252335039,0.0,0.0
SVM,smote,0.6395,0.030517466957034375,0.7588291335659669,0.01335251358148295,0.7703947368421054,0.04236308701647963,0.7641080433949722,0.024952805239429936,0.5103892543859649,0.0470995986738766,0.7850201452253553,0.02730599134012146,-0.004430114075608435,0.059573146621538384
SVM,threshold,0.536,0.184630498706556,0.6997047336292657,0.17880955221857772,0.5809210526315789,0.3491516753563422,0.5890491390169351,0.2797760506827981,0.4760690789473684,0.053261797430544044,0.7553697886032008,0.03059488252335039,-0.031834412861937944,0.07473486075459175
XGB,adasyn,0.588,0.05277559244475365,0.7868053508042725,0.02966249928351148,0.6289473684210527,0.08350204043417184,0.6960683659364613,0.05498901787835188,0.5696820175438597,0.054551243341456584,0.8171739061867298,0.031346323852387524,0.07736872218435685,0.07985840480371395
XGB,classweight,0.5860000000000001,0.044885820056062946,0.7781146099402932,0.03299380951974884,0.6388157894736842,0.06903028889097088,0.699340110795568,0.044513194887471325,0.5641584429824562,0.05430592601881741,0.8110236301021793,0.033545826684878224,0.05008174022783142,0.09329374239462762
XGB,none,0.76,0.0,0.76,0.0,1.0,0.0,0.8636363636363636,0.0,0.5552905701754385,0.05549830561092484,0.8083645052539623,0.03340299001064105,0.0,0.0
XGB,smote,0.5925,0.05199949392466288,0.7907967653939394,0.0310625395410231,0.6309210526315789,0.07509955971487926,0.6995286923860207,0.053856557671315024,0.5727521929824562,0.06184801923877742,0.8218213678628479,0.03910400717448863,0.08951494079102608,0.08804871221902918
XGB,threshold,0.499,0.11120867061993248,0.7934317580335868,0.05601677122781489,0.47368421052631576,0.21679550638261627,0.5631239898218653,0.15814890793763584,0.5552905701754385,0.05549830561092484,0.8083645052539623,0.03340299001064105,0.051915105862994804,0.10844897273927659
